"","X","grad","ex.tuition","ex.other","ex.rent","in.scholarship","in.tuition","in.home","debt","work","work.school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4","totalrev","totalexp","totalwhr"
"639",639,TRUE,35971,0,8000,0,TRUE,5000,FALSE,TRUE,"TRUE",1,"north","public",3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,15194.2,25
"640",640,FALSE,39000,1000,9000,5000,FALSE,0,TRUE,FALSE,"0",0,"south","public",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17800,0
"641",641,FALSE,30000,3000,10000,0,TRUE,15000,FALSE,TRUE,"TRUE",1,"south","public",5000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,19000,35
"642",642,FALSE,30000,5800,7500,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"south","public",7000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,19300,45
"643",643,FALSE,25000,3000,9000,0,TRUE,5000,FALSE,TRUE,"TRUE",1,"north","public",1000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,17000,15
"644",644,TRUE,10690,7000,8000,0,TRUE,20000,FALSE,TRUE,"TRUE",1,"north","public",9000,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,17138,55
"645",645,TRUE,23934,0,14000,5000,FALSE,8000,TRUE,TRUE,"TRUE",1,"east","public",5000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,18786.8,35
"646",646,TRUE,55500,5500,10000,10000,TRUE,10000,FALSE,TRUE,"TRUE",1,"central","private",9000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,26600,75
"647",647,FALSE,57000,4500,4500,0,FALSE,6000,TRUE,FALSE,"0",0,"central","private",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400,0
"648",648,TRUE,25000,2500,10000,0,TRUE,0,FALSE,TRUE,"TRUE",2,"east","public",3000,25,5000,25,0,0,0,0,0,0,0,0,0,0,0,0,8000,17500,50
"649",649,TRUE,16600,3400,5000,10000,TRUE,8000,FALSE,TRUE,"TRUE",2,"south","public",3000,25,5000,45,0,0,0,0,0,0,0,0,0,0,0,0,8000,11720,70
"650",650,TRUE,50000,6500,12000,0,TRUE,12000,FALSE,TRUE,"TRUE",1,"north","private",1000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,28500,5
"651",651,FALSE,25000,4300,10000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"south","public",5000,25,0,0,0,0,0,0,1000,6,0,0,0,0,0,0,6000,19300,31
"652",652,FALSE,20000,4000,20000,0,TRUE,20000,FALSE,TRUE,"FALSE",0,"south","public",0,0,0,0,0,0,0,0,40000,96,0,0,0,0,0,0,40000,28000,96
"653",653,FALSE,800,4000,4000,0,TRUE,4000,FALSE,TRUE,"FALSE",0,"central","private",0,0,0,0,0,0,0,0,4000,150,0,0,0,0,0,0,4000,8160,150
"654",654,TRUE,30000,2100,12000,6000,FALSE,2000,TRUE,TRUE,"TRUE",2,"east","public",5000,25,5000,55,0,0,0,0,0,0,0,0,0,0,0,0,10000,20100,80
"655",655,FALSE,165,2525,7300,0,TRUE,0,FALSE,TRUE,"TRUE",1,"north","private",11000,35,0,0,0,0,0,0,21000,40,0,0,0,0,0,0,32000,9858,75
"656",656,TRUE,21000,4600,7000,0,TRUE,6000,FALSE,TRUE,"TRUE",1,"south","public",3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,15800,25
"657",657,FALSE,54000,7600,10000,5000,FALSE,10000,FALSE,TRUE,"TRUE",1,"central","private",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,28400,15
"658",658,FALSE,29846,3700,7000,0,FALSE,0,FALSE,TRUE,"FALSE",0,"south","public",0,0,0,0,0,0,0,0,7200,12,0,0,0,0,0,0,7200,16669.2,12
"659",659,TRUE,25000,4333,10000,15000,TRUE,4333,FALSE,TRUE,"TRUE",3,"south","public",9000,15,5000,25,5000,55,0,0,0,0,0,0,0,0,0,0,19000,19333,95
"660",660,FALSE,23000,2000,6000,0,TRUE,0,FALSE,TRUE,"TRUE",2,"central","public",3000,5,3000,15,0,0,0,0,6700,45,0,0,0,0,0,0,12700,12600,65
"661",661,FALSE,22000,1500,6000,0,TRUE,7000,FALSE,TRUE,"FALSE",0,"central","public",0,0,0,0,0,0,0,0,5600,40,0,0,0,0,0,0,5600,11900,40
"662",662,FALSE,24370,7570,6000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"north","public",3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,18444,25
"663",663,TRUE,50000,0,8000,0,TRUE,0,FALSE,TRUE,"TRUE",3,"north","private",1000,35,1000,25,0,0,0,0,0,0,0,0,0,0,0,0,2000,18000,60
"664",664,TRUE,12000,10000,15000,10000,TRUE,10000,FALSE,TRUE,"TRUE",1,"north","public",9000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,27400,15
"665",665,TRUE,23000,4300,12000,10000,TRUE,8000,FALSE,TRUE,"TRUE",3,"south","public",1000,25,9000,75,1000,75,0,0,0,0,0,0,0,0,0,0,11000,20900,175
"666",666,TRUE,22000,9000,8000,10000,TRUE,3000,FALSE,TRUE,"TRUE",1,"north","public",7000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,21400,75
"667",667,TRUE,28000,2250,6000,6000,TRUE,10000,FALSE,TRUE,"TRUE",1,"central","public",5000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,13850,5
"668",668,TRUE,15000,8500,9000,28000,TRUE,0,FALSE,FALSE,"0",0,"north","public",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20500,0
