"","grad","ex-tuition","ex-other","ex-rent","in-scholarship","in-tuition","in-home","debt","work","work-school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4"
"447",FALSE,22000,6000,10000,600,TRUE,15000,FALSE,TRUE,TRUE,1,"north","public",5000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",FALSE,44000,1800,5000,0,TRUE,1000,TRUE,TRUE,FALSE,NA,"central","private",NA,NA,NA,NA,NA,NA,NA,NA,2800,16,5040,36,NA,NA,NA,NA
"449",FALSE,24000,4000,8500,0,TRUE,7500,TRUE,TRUE,TRUE,1,"central","public",5000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450",TRUE,18099,0,13000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","public",3000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451",FALSE,50000,8000,13000,0,TRUE,10000,FALSE,TRUE,FALSE,NA,"north","private",NA,NA,NA,NA,NA,NA,NA,NA,20000,120,NA,NA,NA,NA,NA,NA
"452",FALSE,32150,22150,6000,2500,TRUE,7000,FALSE,TRUE,TRUE,1,"north","public",5000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453",FALSE,32000,5600,8000,1200,TRUE,6000,FALSE,TRUE,TRUE,1,"north","public",5000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454",FALSE,27000,2700,4000,0,TRUE,7000,FALSE,TRUE,TRUE,1,"central","public",3000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455",FALSE,4300,3000,10000,0,FALSE,10000,FALSE,TRUE,TRUE,1,"south","public",1000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456",FALSE,46000,2800,6000,0,TRUE,8000,FALSE,TRUE,TRUE,1,"north","private",1000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457",TRUE,34000,0,5000,0,FALSE,0,TRUE,TRUE,FALSE,NA,"south","private",NA,NA,NA,NA,NA,NA,NA,NA,7000,140,NA,NA,NA,NA,NA,NA
"458",TRUE,26585,3500,8000,0,FALSE,0,TRUE,TRUE,TRUE,2,"north","public",7000,5,5000,5,NA,NA,NA,NA,9600,16,NA,NA,NA,NA,NA,NA
"459",FALSE,43000,7000,6000,0,TRUE,8000,FALSE,TRUE,TRUE,1,"other","private",5000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460",FALSE,46000,2200,6000,0,TRUE,10000,TRUE,TRUE,TRUE,1,"north","private",3000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461",FALSE,3000,14800,5000,0,TRUE,7000,FALSE,FALSE,NA,NA,"south","private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462",TRUE,12910,6000,18000,0,FALSE,0,FALSE,TRUE,TRUE,3,"north","public",7000,45,7000,35,NA,NA,NA,NA,10000,80,NA,NA,NA,NA,NA,NA
"463",TRUE,0,0,10000,8860,TRUE,3000,FALSE,TRUE,TRUE,1,NA,"public",9000,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464",FALSE,50000,0,10000,0,TRUE,0,FALSE,TRUE,FALSE,NA,"north","private",NA,NA,NA,NA,NA,NA,NA,NA,18000,100,NA,NA,NA,NA,NA,NA
"465",FALSE,39000,2375,3500,0,TRUE,8000,TRUE,TRUE,TRUE,1,"east","private",7000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466",TRUE,25000,3500,10000,0,FALSE,0,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,4000,8,4000,8,NA,NA,NA,NA
"467",TRUE,20000,3500,8000,4000,TRUE,10000,FALSE,FALSE,NA,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468",FALSE,23000,8650,8000,0,FALSE,8000,TRUE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,13000,76,NA,NA,NA,NA,NA,NA
"469",TRUE,0,0,10000,0,FALSE,0,FALSE,TRUE,TRUE,1,"north","private",9000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470",TRUE,13864,8000,6000,0,FALSE,0,TRUE,TRUE,TRUE,1,"south","public",1000,5,7000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471",FALSE,29964,1367,6178,0,TRUE,9000,FALSE,TRUE,TRUE,1,"north","public",5000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472",FALSE,50000,7000,15000,0,TRUE,12000,FALSE,TRUE,TRUE,2,"north","private",9000,5,5000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473",TRUE,50000,5000,5000,4000,FALSE,0,FALSE,TRUE,TRUE,4,"central","public",5000,35,7000,25,5000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474",FALSE,6028,3500,8000,0,FALSE,3500,TRUE,TRUE,FALSE,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,1200,36,10080,72,NA,NA,NA,NA
"475",FALSE,25000,3000,6000,0,TRUE,0,FALSE,TRUE,TRUE,1,"north","public",5000,15,NA,NA,NA,NA,NA,NA,10000,70,NA,NA,NA,NA,NA,NA
"476",FALSE,1000,2625,4500,0,TRUE,4500,FALSE,TRUE,TRUE,1,"north","private",3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",TRUE,24000,0,10000,2000,TRUE,0,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,8800,550,8000,16,6300,20,5000,16
"478",FALSE,24000,0,7000,0,TRUE,0,FALSE,TRUE,FALSE,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,10000,10,1300,8,NA,NA,NA,NA
"479",FALSE,25333,2254,9000,7000,TRUE,9000,FALSE,TRUE,TRUE,2,"north","public",3000,25,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",FALSE,50000,0,20000,0,TRUE,0,TRUE,TRUE,FALSE,NA,"north","private",NA,NA,NA,NA,NA,NA,NA,NA,40008,48,2000,8,NA,NA,NA,NA
"481",FALSE,27588,2233.3,6000,0,FALSE,6000,FALSE,TRUE,TRUE,1,"central","public",1000,15,1000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",FALSE,40000,2400,6000,0,TRUE,6000,FALSE,TRUE,TRUE,2,"north","public",5000,25,5000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",FALSE,52000,0,3000,0,TRUE,5000,FALSE,TRUE,TRUE,1,"south","private",1000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484",FALSE,45784,3200,6000,16350,FALSE,1000,FALSE,TRUE,TRUE,1,"south","private",5000,35,NA,NA,NA,NA,NA,NA,5400,9,NA,NA,NA,NA,NA,NA
"485",FALSE,25000,3000,7000,0,TRUE,12000,FALSE,TRUE,FALSE,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,8000,56,NA,NA,NA,NA,NA,NA
"486",FALSE,22000,6000,7000,250,FALSE,4000,TRUE,TRUE,TRUE,1,"south","public",3000,15,NA,NA,NA,NA,NA,NA,6000,48,NA,NA,NA,NA,NA,NA
"487",FALSE,40000,4000,8000,10000,TRUE,10000,FALSE,TRUE,FALSE,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,4800,8,NA,NA,NA,NA,NA,NA
"488",FALSE,56138,3300,6000,3000,FALSE,0,FALSE,TRUE,TRUE,1,"south","private",5000,NA,NA,NA,NA,NA,NA,NA,6000,140,NA,NA,NA,NA,NA,NA
"489",FALSE,80000,4000,8000,0,FALSE,12000,TRUE,TRUE,TRUE,1,"central","private",5000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
